Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
50,200,0.50,0.90,0.10,3.36
100,100,0.50,0.90,0.10,3.33
50,200,0.50,0.90,0.20,3.33
100,200,0.50,0.90,0.10,3.30
50,200,0.50,0.90,0.05,3.38
100,100,0.50,0.90,0.20,3.32
100,500,0.50,0.90,0.10,3.08
50,200,0.50,0.90,0.01,3.44
100,200,0.50,0.90,0.20,3.19
200,200,0.50,0.90,0.10,3.20
100,100,0.50,0.90,0.05,3.39
50,200,0.50,1.00,0.10,3.35
50,200,0.50,1.00,0.20,3.30
100,100,0.50,0.90,0.01,3.43
100,200,0.50,0.90,0.05,3.28
50,200,0.50,1.00,0.05,3.40
100,500,0.50,0.90,0.20,2.91
100,100,0.50,1.00,0.10,3.36
500,100,0.50,0.90,0.10,3.22
50,200,0.50,1.00,0.01,3.42
100,200,0.50,0.90,0.01,3.39
200,200,0.50,0.90,0.20,3.16
50,200,0.50,0.80,0.10,3.35
100,100,0.50,1.00,0.20,3.36
100,500,0.50,0.90,0.05,3.22
50,200,0.50,0.80,0.20,3.27
100,200,0.50,1.00,0.10,3.27
100,100,0.50,1.00,0.05,3.41
500,200,0.50,0.90,0.10,3.10
50,200,0.50,0.80,0.05,3.39
50,200,0.50,0.80,0.01,3.45
100,100,0.50,1.00,0.01,3.43
100,200,0.50,1.00,0.20,3.25
200,200,0.50,0.90,0.05,3.25
50,200,0.50,0.70,0.10,3.33
100,500,0.50,0.90,0.01,3.32
50,200,0.50,0.70,0.20,3.25
100,100,0.50,0.80,0.10,3.34
100,200,0.50,1.00,0.05,3.33
50,200,0.50,0.70,0.05,3.36
100,100,0.50,0.80,0.20,3.32
50,200,0.50,0.70,0.01,3.48
100,200,0.50,1.00,0.01,3.36
100,500,0.50,1.00,0.10,3.04
200,200,0.50,0.90,0.01,3.39
500,100,0.50,0.90,0.20,3.23
100,100,0.50,0.80,0.05,3.36
50,200,0.90,0.90,0.10,2.12
100,200,0.50,0.80,0.10,3.25
100,100,0.50,0.80,0.01,3.46
50,200,0.90,0.90,0.20,2.11
100,500,0.50,1.00,0.20,2.94
500,500,0.50,0.90,0.10,2.75
50,200,0.90,0.90,0.05,2.14
100,100,0.50,0.70,0.10,3.33
