Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
50,200,0.50,0.90,0.10,-47.39
100,200,0.50,0.90,0.10,-48.96
200,50,0.50,0.90,0.10,-47.38
50,200,0.50,0.90,0.20,-47.03
200,200,0.50,0.90,0.10,-48.63
50,200,0.50,0.90,0.05,-46.48
200,100,0.50,0.90,0.10,-49.65
100,200,0.50,0.90,0.20,-49.14
50,200,0.50,0.90,0.01,-46.78
200,50,0.50,0.90,0.20,-47.16
50,200,0.50,1.00,0.10,-46.67
50,200,0.50,1.00,0.20,-47.23
100,200,0.50,0.90,0.05,-48.96
200,100,0.50,0.90,0.20,-48.69
500,100,0.50,0.90,0.10,-51.20
200,200,0.50,0.90,0.20,-52.49
50,200,0.50,1.00,0.05,-47.43
200,50,0.50,0.90,0.05,-47.15
50,200,0.50,1.00,0.01,-46.30
100,200,0.50,0.90,0.01,-47.22
500,200,0.50,0.90,0.10,-48.97
50,200,0.50,0.80,0.10,-46.41
200,100,0.50,0.90,0.05,-50.24
200,200,0.50,0.90,0.05,-48.61
50,200,0.50,0.80,0.20,-46.66
100,200,0.50,1.00,0.10,-47.32
200,50,0.50,0.90,0.01,-50.31
50,200,0.50,0.80,0.05,-46.48
50,200,0.50,0.80,0.01,-46.70
100,200,0.50,1.00,0.20,-48.33
200,100,0.50,0.90,0.01,-49.46
50,200,0.50,0.70,0.10,-47.60
500,100,0.50,0.90,0.20,-49.09
200,50,0.50,1.00,0.10,-47.44
50,200,0.50,0.70,0.20,-47.71
100,200,0.50,1.00,0.05,-47.77
200,200,0.50,0.90,0.01,-48.41
50,200,0.50,0.70,0.05,-47.77
50,200,0.50,0.70,0.01,-47.07
100,200,0.50,1.00,0.01,-46.59
200,100,0.50,1.00,0.10,-47.46
200,50,0.50,1.00,0.20,-47.59
50,200,0.90,0.90,0.10,-51.40
500,500,0.50,0.90,0.10,-55.48
100,200,0.50,0.80,0.10,-48.66
200,200,0.50,1.00,0.10,-49.05
50,200,0.90,0.90,0.20,-51.72
200,50,0.50,1.00,0.05,-49.23
200,100,0.50,1.00,0.20,-50.28
100,200,0.50,0.80,0.20,-51.20
50,200,0.90,0.90,0.05,-51.08
500,200,0.50,0.90,0.20,-51.61
500,100,0.50,0.90,0.05,-50.75
50,200,0.90,0.90,0.01,-51.17
200,50,0.50,1.00,0.01,-48.33
100,200,0.50,0.80,0.05,-46.92
200,200,0.50,1.00,0.20,-51.33
200,100,0.50,1.00,0.05,-50.48
50,200,0.90,1.00,0.10,-51.44
100,200,0.50,0.80,0.01,-47.50
50,200,0.90,1.00,0.20,-51.39
200,50,0.50,0.80,0.10,-46.80
200,100,0.50,1.00,0.01,-49.19
50,200,0.90,1.00,0.05,-51.13
100,200,0.50,0.70,0.10,-47.38
200,200,0.50,1.00,0.05,-51.26
50,200,0.90,1.00,0.01,-51.06
200,50,0.50,0.80,0.20,-48.72
100,200,0.50,0.70,0.20,-48.71
50,200,0.90,0.80,0.10,-51.07
200,100,0.50,0.80,0.10,-47.65
100,200,0.50,0.70,0.05,-47.01
50,200,0.90,0.80,0.20,-53.37
500,100,0.50,0.90,0.01,-50.08
200,50,0.50,0.80,0.05,-48.60
200,200,0.50,1.00,0.01,-50.64
500,200,0.50,0.90,0.05,-48.92
50,200,0.90,0.80,0.05,-51.14
100,200,0.50,0.70,0.01,-46.82
200,100,0.50,0.80,0.20,-49.98
200,50,0.50,0.80,0.01,-46.92
50,200,0.90,0.80,0.01,-51.44
50,200,0.90,0.70,0.10,-51.82
100,200,0.90,0.90,0.10,-51.37
200,200,0.50,0.80,0.10,-48.08
200,100,0.50,0.80,0.05,-50.15
50,200,0.90,0.70,0.20,-50.95
200,50,0.50,0.70,0.10,-50.62
500,500,0.50,0.90,0.20,-56.60
50,200,0.90,0.70,0.05,-50.98
100,200,0.90,0.90,0.20,-51.54
500,100,0.50,1.00,0.10,-50.97
50,200,0.90,0.70,0.01,-50.99
200,50,0.50,0.70,0.20,-48.59
200,100,0.50,0.80,0.01,-46.65
200,200,0.50,0.80,0.20,-50.26
50,200,0.30,0.90,0.10,-44.37
50,200,0.30,0.90,0.20,-43.77
100,200,0.90,0.90,0.05,-51.33
50,200,0.30,0.90,0.05,-43.91
500,200,0.50,0.90,0.01,-49.26
200,50,0.50,0.70,0.05,-47.04
50,200,0.30,0.90,0.01,-43.45
200,100,0.50,0.70,0.10,-50.68
50,200,0.30,1.00,0.10,-46.80
50,200,0.30,1.00,0.20,-45.75
200,200,0.50,0.80,0.05,-47.68
100,200,0.90,0.90,0.01,-51.45
50,200,0.30,1.00,0.05,-44.23
200,50,0.50,0.70,0.01,-48.69
50,200,0.30,1.00,0.01,-45.74
200,100,0.50,0.70,0.20,-48.13
50,200,0.30,0.80,0.10,-42.89
100,200,0.90,1.00,0.10,-51.37
50,200,0.30,0.80,0.20,-45.63
500,100,0.50,1.00,0.20,-52.36
50,200,0.30,0.80,0.05,-43.42
200,200,0.50,0.80,0.01,-47.59
200,50,0.90,0.90,0.10,-52.28
50,200,0.30,0.80,0.01,-44.20
200,100,0.50,0.70,0.05,-48.56
50,200,0.30,0.70,0.10,-44.62
100,200,0.90,1.00,0.20,-51.75
50,200,0.30,0.70,0.20,-45.29
50,200,0.30,0.70,0.05,-47.20
200,200,0.50,0.70,0.10,-48.51
50,200,0.30,0.70,0.01,-45.32
50,200,0.10,0.90,0.10,-41.88
200,50,0.90,0.90,0.20,-51.51
200,100,0.50,0.70,0.01,-47.57
100,200,0.90,1.00,0.05,-53.54
50,200,0.10,0.90,0.20,-45.13
50,200,0.10,0.90,0.05,-40.49
500,200,0.50,1.00,0.10,-50.69
50,200,0.10,0.90,0.01,-40.29
50,200,0.10,1.00,0.10,-42.49
50,200,0.10,1.00,0.20,-43.12
100,200,0.90,1.00,0.01,-51.18
500,100,0.50,1.00,0.05,-51.83
50,200,0.10,1.00,0.05,-44.30
200,200,0.50,0.70,0.20,-49.51
50,200,0.10,1.00,0.01,-42.52
200,50,0.90,0.90,0.05,-54.08
50,200,0.10,0.80,0.10,-43.30
200,100,0.90,0.90,0.10,-52.43
50,200,0.10,0.80,0.20,-42.73
500,500,0.50,0.90,0.05,-50.98
50,200,0.10,0.80,0.05,-42.33
100,200,0.90,0.80,0.10,-52.03
50,200,0.10,0.80,0.01,-41.18
50,200,0.10,0.70,0.10,-41.96
50,200,0.10,0.70,0.20,-44.42
200,200,0.50,0.70,0.05,-50.12
50,200,0.10,0.70,0.05,-43.82
50,200,0.10,0.70,0.01,-39.66
200,50,0.90,0.90,0.01,-51.37
100,200,0.90,0.80,0.20,-52.37
200,100,0.90,0.90,0.20,-53.32
50,500,0.50,0.90,0.10,-47.21
50,500,0.50,0.90,0.20,-49.47
200,200,0.50,0.70,0.01,-49.32
100,200,0.90,0.80,0.05,-51.48
500,100,0.50,1.00,0.01,-52.00
500,200,0.50,1.00,0.20,-52.70
50,500,0.50,0.90,0.05,-50.11
200,50,0.90,1.00,0.10,-51.33
200,100,0.90,0.90,0.05,-51.42
100,200,0.90,0.80,0.01,-51.30
50,500,0.50,0.90,0.01,-46.20
50,500,0.50,1.00,0.10,-48.92
100,200,0.90,0.70,0.10,-53.37
200,200,0.90,0.90,0.10,-53.41
200,50,0.90,1.00,0.20,-52.11
50,500,0.50,1.00,0.20,-48.09
200,100,0.90,0.90,0.01,-51.80
50,500,0.50,1.00,0.05,-46.28
100,200,0.90,0.70,0.20,-52.20
500,100,0.50,0.80,0.10,-51.84
50,500,0.50,1.00,0.01,-46.60
200,50,0.90,1.00,0.05,-51.36
50,500,0.50,0.80,0.10,-47.25
100,200,0.90,0.70,0.05,-52.04
500,200,0.50,1.00,0.05,-49.69
200,200,0.90,0.90,0.20,-53.41
200,100,0.90,1.00,0.10,-52.29
50,500,0.50,0.80,0.20,-47.84
500,500,0.50,0.90,0.01,-51.08
100,200,0.90,0.70,0.01,-51.15
50,500,0.50,0.80,0.05,-47.33
200,50,0.90,1.00,0.01,-53.17
100,200,0.30,0.90,0.10,-46.61
50,500,0.50,0.80,0.01,-47.35
100,200,0.30,0.90,0.20,-46.17
50,500,0.50,0.70,0.10,-46.43
200,200,0.90,0.90,0.05,-51.56
200,100,0.90,1.00,0.20,-55.22
500,100,0.50,0.80,0.20,-49.03
100,200,0.30,0.90,0.05,-46.52
50,500,0.50,0.70,0.20,-47.98
200,50,0.90,0.80,0.10,-51.74
100,200,0.30,0.90,0.01,-45.89
50,500,0.50,0.70,0.05,-47.19
100,200,0.30,1.00,0.10,-44.83
50,500,0.50,0.70,0.01,-46.49
200,100,0.90,1.00,0.05,-52.22
100,200,0.30,1.00,0.20,-47.49
200,200,0.90,0.90,0.01,-53.08
500,200,0.50,1.00,0.01,-52.28
50,500,0.90,0.90,0.10,-51.48
200,50,0.90,0.80,0.20,-53.07
100,200,0.30,1.00,0.05,-47.75
50,500,0.90,0.90,0.20,-53.23
500,100,0.50,0.80,0.05,-50.03
100,200,0.30,1.00,0.01,-48.25
200,100,0.90,1.00,0.01,-51.59
100,200,0.30,0.80,0.10,-45.53
50,500,0.90,0.90,0.05,-51.09
200,50,0.90,0.80,0.05,-51.68
200,200,0.90,1.00,0.10,-53.61
100,200,0.30,0.80,0.20,-45.53
50,500,0.90,0.90,0.01,-53.20
100,200,0.30,0.80,0.05,-46.21
50,500,0.90,1.00,0.10,-51.77
200,100,0.90,0.80,0.10,-52.07
100,200,0.30,0.80,0.01,-45.86
500,500,0.50,1.00,0.10,-54.27
200,50,0.90,0.80,0.01,-52.82
100,200,0.30,0.70,0.10,-46.63
50,500,0.90,1.00,0.20,-52.24
500,100,0.50,0.80,0.01,-49.04
500,200,0.50,0.80,0.10,-50.45
200,200,0.90,1.00,0.20,-52.31
100,200,0.30,0.70,0.20,-46.09
50,500,0.90,1.00,0.05,-51.32
100,200,0.30,0.70,0.05,-44.51
200,100,0.90,0.80,0.20,-52.31
200,50,0.90,0.70,0.10,-52.66
50,500,0.90,1.00,0.01,-52.51
100,200,0.30,0.70,0.01,-44.48
100,200,0.10,0.90,0.10,-46.85
50,500,0.90,0.80,0.10,-52.68
200,200,0.90,1.00,0.05,-52.71
100,200,0.10,0.90,0.20,-45.16
200,100,0.90,0.80,0.05,-53.08
200,50,0.90,0.70,0.20,-51.31
100,200,0.10,0.90,0.05,-44.71
50,500,0.90,0.80,0.20,-52.55
500,100,0.50,0.70,0.10,-49.98
100,200,0.10,0.90,0.01,-42.81
50,500,0.90,0.80,0.05,-51.12
100,200,0.10,1.00,0.10,-46.88
100,200,0.10,1.00,0.20,-44.24
200,100,0.90,0.80,0.01,-51.90
500,200,0.50,0.80,0.20,-51.31
50,500,0.90,0.80,0.01,-50.72
200,200,0.90,1.00,0.01,-51.73
200,50,0.90,0.70,0.05,-51.62
100,200,0.10,1.00,0.05,-45.28
50,500,0.90,0.70,0.10,-51.42
100,200,0.10,1.00,0.01,-45.16
100,200,0.10,0.80,0.10,-46.62
200,50,0.90,0.70,0.01,-53.28
500,500,0.50,1.00,0.20,-55.45
50,500,0.90,0.70,0.20,-51.90
500,100,0.50,0.70,0.20,-48.33
100,200,0.10,0.80,0.20,-46.19
200,200,0.90,0.80,0.10,-54.76
200,100,0.90,0.70,0.10,-52.44
200,50,0.30,0.90,0.10,-46.62
100,200,0.10,0.80,0.05,-46.55
50,500,0.90,0.70,0.05,-51.17
100,200,0.10,0.80,0.01,-42.34
200,50,0.30,0.90,0.20,-46.05
100,200,0.10,0.70,0.10,-42.83
50,500,0.90,0.70,0.01,-51.20
100,200,0.10,0.70,0.20,-45.35
200,100,0.90,0.70,0.20,-53.31
200,50,0.30,0.90,0.05,-48.46
50,500,0.30,0.90,0.10,-46.54
100,200,0.10,0.70,0.05,-44.07
200,200,0.90,0.80,0.20,-53.48
50,500,0.30,0.90,0.20,-47.38
100,200,0.10,0.70,0.01,-42.11
200,50,0.30,0.90,0.01,-48.98
50,500,0.30,0.90,0.05,-44.76
500,200,0.50,0.80,0.05,-52.22
500,100,0.50,0.70,0.05,-50.67
200,50,0.30,1.00,0.10,-47.32
50,500,0.30,0.90,0.01,-46.08
100,500,0.50,0.90,0.10,-50.98
200,100,0.90,0.70,0.05,-52.03
200,200,0.90,0.80,0.05,-52.24
50,500,0.30,1.00,0.10,-46.17
200,50,0.30,1.00,0.20,-49.46
50,500,0.30,1.00,0.20,-47.49
200,50,0.30,1.00,0.05,-48.00
100,500,0.50,0.90,0.20,-51.33
50,500,0.30,1.00,0.05,-46.29
200,100,0.90,0.70,0.01,-51.64
200,50,0.30,1.00,0.01,-47.95
50,500,0.30,1.00,0.01,-45.10
200,200,0.90,0.80,0.01,-51.26
100,500,0.50,0.90,0.05,-47.98
50,500,0.30,0.80,0.10,-47.52
200,50,0.30,0.80,0.10,-48.18
200,100,0.30,0.90,0.10,-46.10
500,100,0.50,0.70,0.01,-49.15
500,500,0.50,1.00,0.05,-53.82
50,500,0.30,0.80,0.20,-46.00
200,50,0.30,0.80,0.20,-48.63
500,200,0.50,0.80,0.01,-50.25
200,100,0.30,0.90,0.20,-48.00
50,500,0.30,0.80,0.05,-44.63
100,500,0.50,0.90,0.01,-48.81
200,50,0.30,0.80,0.05,-46.60
200,200,0.90,0.70,0.10,-52.46
50,500,0.30,0.80,0.01,-45.98
200,100,0.30,0.90,0.05,-48.38
200,50,0.30,0.80,0.01,-44.53
50,500,0.30,0.70,0.10,-44.37
100,500,0.50,1.00,0.10,-48.01
50,500,0.30,0.70,0.20,-46.16
200,100,0.30,0.90,0.01,-45.83
200,50,0.30,0.70,0.10,-45.24
200,200,0.90,0.70,0.20,-52.54
50,500,0.30,0.70,0.05,-43.50
200,50,0.30,0.70,0.20,-47.14
200,100,0.30,1.00,0.10,-49.30
50,500,0.30,0.70,0.01,-45.22
100,500,0.50,1.00,0.20,-49.44
50,500,0.10,0.90,0.10,-45.88
200,50,0.30,0.70,0.05,-45.63
200,100,0.30,1.00,0.20,-46.58
50,500,0.10,0.90,0.20,-44.24
500,100,0.90,0.90,0.10,-54.28
200,50,0.30,0.70,0.01,-48.68
100,500,0.50,1.00,0.05,-47.68
50,500,0.10,0.90,0.05,-42.47
200,200,0.90,0.70,0.05,-54.08
500,200,0.50,0.70,0.10,-51.07
200,50,0.10,0.90,0.10,-48.06
200,100,0.30,1.00,0.05,-49.26
50,500,0.10,0.90,0.01,-40.96
200,50,0.10,0.90,0.20,-44.80
50,500,0.10,1.00,0.10,-44.32
200,50,0.10,0.90,0.05,-47.07
100,500,0.50,1.00,0.01,-46.98
200,100,0.30,1.00,0.01,-47.87
500,500,0.50,1.00,0.01,-54.45
200,50,0.10,0.90,0.01,-45.57
50,500,0.10,1.00,0.20,-44.72
200,50,0.10,1.00,0.10,-44.79
50,500,0.10,1.00,0.05,-43.31
200,50,0.10,1.00,0.20,-46.48
200,100,0.30,0.80,0.10,-48.29
50,500,0.10,1.00,0.01,-43.65
200,200,0.90,0.70,0.01,-51.36
100,500,0.50,0.80,0.10,-50.53
200,50,0.10,1.00,0.05,-45.81
50,500,0.10,0.80,0.10,-44.93
200,50,0.10,1.00,0.01,-46.46
200,100,0.30,0.80,0.20,-46.80
50,500,0.10,0.80,0.20,-43.67
200,50,0.10,0.80,0.10,-44.68
200,200,0.30,0.90,0.10,-47.29
50,500,0.10,0.80,0.05,-43.09
200,50,0.10,0.80,0.20,-45.62
100,500,0.50,0.80,0.20,-50.23
200,100,0.30,0.80,0.05,-46.99
200,50,0.10,0.80,0.05,-45.71
50,500,0.10,0.80,0.01,-42.62
200,50,0.10,0.80,0.01,-46.69
500,200,0.50,0.70,0.20,-52.25
50,500,0.10,0.70,0.10,-44.19
500,100,0.90,0.90,0.20,-52.59
200,200,0.30,0.90,0.20,-49.95
