Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness,Tiempo_de_ejecucion_en_ms
50,50,0.5,0.7,0.1,-45.73715392638284,4982
50,200,0.1,1.0,0.2,-43.94658370518207,4568
50,50,0.5,0.7,0.2,-48.16313903978043,4566
100,100,0.9,0.7,0.1,-51.38595932084691,16563
50,200,0.1,1.0,0.05,-43.15322799013093,5623
100,200,0.9,1.0,0.01,-51.14153057026294,21017
50,50,0.5,0.7,0.05,-45.82530714971146,5754
50,200,0.1,1.0,0.01,-40.81044672014083,5981
200,200,0.5,0.7,0.2,-49.25541955751123,32030
50,50,0.5,0.7,0.01,-45.00685434590106,5501
50,200,0.1,0.8,0.1,-41.09779551208356,3631
500,100,0.5,1.0,0.05,-49.772232550787145,64679
50,200,0.1,0.8,0.2,-41.353676615567174,4189
100,100,0.9,0.7,0.2,-52.11868251486541,16927
50,50,0.9,0.9,0.1,-50.8820718438559,8167
50,200,0.1,0.8,0.05,-40.45584783666982,5800
50,50,0.9,0.9,0.2,-51.106070762228846,8372
100,200,0.9,0.8,0.1,-53.230293256252935,22581
50,200,0.1,0.8,0.01,-40.14995846105499,6937
50,200,0.1,0.7,0.1,-41.71512053585025,3659
50,50,0.9,0.9,0.05,-51.260334001802825,8413
50,200,0.1,0.7,0.2,-44.900544964437735,4465
100,100,0.9,0.7,0.05,-51.150298803442574,21151
50,200,0.1,0.7,0.05,-40.62830643798057,4028
200,200,0.5,0.7,0.05,-48.78255799060291,34116
50,50,0.9,0.9,0.01,-50.86394639714996,9277
100,200,0.9,0.8,0.2,-51.85622144848735,19681
50,200,0.1,0.7,0.01,-38.859302296544385,4779
500,50,0.5,0.8,0.1,-48.62219268066264,59243
50,50,0.9,1.0,0.1,-50.977071756855324,8596
100,100,0.9,0.7,0.01,-51.27266008887346,18597
50,500,0.5,0.9,0.1,-47.25476789001083,11192
50,50,0.9,1.0,0.2,-51.12184239148972,6598
500,200,0.5,1.0,0.2,-51.98522512533827,74003
100,100,0.3,0.9,0.1,-46.323318266673766,7676
100,200,0.9,0.8,0.05,-51.55241774382096,19653
50,50,0.9,1.0,0.05,-51.01879329526152,6919
50,500,0.5,0.9,0.2,-48.34777526754836,10510
200,200,0.5,0.7,0.01,-50.97899207389997,27125
100,100,0.3,0.9,0.2,-45.53101715628206,7231
50,50,0.9,1.0,0.01,-51.01918783594388,6883
50,500,0.5,0.9,0.05,-47.65806466898195,10122
100,100,0.3,0.9,0.05,-45.793639040021496,6905
500,100,0.5,1.0,0.01,-51.173104742104975,63486
50,50,0.9,0.8,0.1,-51.152202804064636,7099
100,200,0.9,0.8,0.01,-51.5287027777893,17539
100,100,0.3,0.9,0.01,-45.70958484902107,7171
50,50,0.9,0.8,0.2,-50.971871514194916,7094
50,500,0.5,0.9,0.01,-46.10799739409066,10106
100,100,0.3,1.0,0.1,-44.98221893832394,6327
500,50,0.5,0.8,0.2,-51.70858217792931,46247
50,50,0.9,0.8,0.05,-51.22187126114838,7282
50,500,0.5,1.0,0.1,-47.90155203479519,10681
100,100,0.3,1.0,0.2,-46.87495990214007,7438
100,200,0.9,0.7,0.1,-52.290432919530026,17951
50,50,0.9,0.8,0.01,-51.721548220484166,7033
100,100,0.3,1.0,0.05,-45.22576384310641,7384
200,200,0.9,0.9,0.1,-54.34137608866815,37334
50,50,0.9,0.7,0.1,-51.206315572927224,7032
50,500,0.5,1.0,0.2,-47.84361010721636,10360
100,100,0.3,1.0,0.01,-45.037197576674444,7091
50,50,0.9,0.7,0.2,-53.527644156849256,6881
100,200,0.9,0.7,0.2,-51.95670023263743,17520
50,500,0.5,1.0,0.05,-47.40156623535926,10082
100,100,0.3,0.8,0.1,-47.08534156612613,7365
50,50,0.9,0.7,0.05,-52.35270754600607,7367
100,100,0.3,0.8,0.2,-46.95244628952542,9155
50,50,0.9,0.7,0.01,-51.27941284760155,8058
50,500,0.5,1.0,0.01,-46.539858129198805,12390
50,50,0.3,0.9,0.1,-43.85200562803122,4211
500,200,0.5,1.0,0.05,-51.47693127920033,76905
50,50,0.3,0.9,0.2,-43.45907361225092,5426
100,100,0.3,0.8,0.05,-44.7594579741838,10953
500,100,0.5,0.8,0.1,-52.28524058861937,62101
100,200,0.9,0.7,0.05,-51.36516072622555,24479
50,50,0.3,0.9,0.05,-44.26646056064182,3900
