id,longitud,latitud,demanda
278,-56.213516,-34.8616,186
279,-56.213913,-34.86204,186
1541,-56.21374,-34.908157,1165
1542,-56.21373,-34.908184,1165
1543,-56.21236,-34.910103,862
1544,-56.21188,-34.9106,1210
1545,-56.211338,-34.910954,1326
1546,-56.211308,-34.91097,1326
1547,-56.20992,-34.91168,1001
1548,-56.209988,-34.91169,1001
1549,-56.211758,-34.909634,1458
1550,-56.21281,-34.90742,1450
1551,-56.213333,-34.906853,1070
1552,-56.212334,-34.906513,1382
1553,-56.211853,-34.90726,1835
1554,-56.211845,-34.907276,1835
1555,-56.21162,-34.90753,2182
1556,-56.211456,-34.908157,2193
1557,-56.210632,-34.909733,2227
1558,-56.210625,-34.909748,2227
1559,-56.210564,-34.910095,2168
1560,-56.20592,-34.910538,1169
1561,-56.205963,-34.91055,1169
1562,-56.207573,-34.91105,1397
1563,-56.207596,-34.911057,1397
1564,-56.207893,-34.911194,1332
1565,-56.20794,-34.911205,1332
1566,-56.208557,-34.911438,1347
1567,-56.208603,-34.911446,1347
1568,-56.207703,-34.907978,1133
1569,-56.207706,-34.907993,1133
1570,-56.20836,-34.908108,1233
1571,-56.208622,-34.90764,1352
1572,-56.208622,-34.907627,1094
1573,-56.208626,-34.906723,887
1574,-56.208897,-34.906345,818
1575,-56.208904,-34.906334,818
1576,-56.209568,-34.90484,479
1577,-56.209583,-34.9048,412
1578,-56.209614,-34.90475,412
1579,-56.208458,-34.90466,316
1580,-56.207825,-34.906017,489
1581,-56.20782,-34.90602,489
1582,-56.20727,-34.907146,792
1583,-56.206745,-34.908253,1357
1584,-56.206734,-34.908276,1357
1585,-56.204304,-34.908676,1242
1586,-56.204273,-34.908737,1216
1587,-56.204266,-34.908752,1216
1588,-56.203964,-34.909405,1042
1589,-56.20453,-34.910187,847
1590,-56.204544,-34.91019,847
1591,-56.20456,-34.910194,847
1592,-56.20522,-34.90919,1485
1593,-56.206562,-34.906532,403
1594,-56.207386,-34.904804,441
1595,-56.207638,-34.904255,328
1596,-56.206234,-34.904823,825
1597,-56.206223,-34.904842,825
1598,-56.205807,-34.905502,822
1599,-56.203598,-34.90781,954
1600,-56.203606,-34.907795,954
1601,-56.204765,-34.905426,971
1602,-56.20536,-34.904247,1248
1603,-56.20537,-34.90423,1248
1604,-56.2056,-34.903755,1130
