longitud,latitud,demanda,demanda_normalizada,id
-56.213516,-34.8616,186.0,0.027702089009990917,1
-56.213913,-34.86204,186.0,0.027702089009990917,2
-56.21374,-34.908157,1165.0,0.17590069633666364,3
-56.21373,-34.908184,1165.0,0.17590069633666364,4
-56.21236,-34.910103,862.0,0.1300333030578262,5
-56.21188,-34.9106,1210.0,0.18271268543748106,6
-56.211338,-34.910954,1326.0,0.20027247956403268,7
-56.211308,-34.91097,1326.0,0.20027247956403268,8
-56.20992,-34.91168,1001.0,0.15107478050257342,9
-56.209988,-34.91169,1001.0,0.15107478050257342,10
-56.211758,-34.909634,1458.0,0.22025431425976386,11
-56.21281,-34.90742,1450.0,0.21904329397517408,12
-56.213333,-34.906853,1070.0,0.16151983045716015,13
-56.212334,-34.906513,1382.0,0.20874962155616106,14
-56.211853,-34.90726,1835.0,0.2773236451710566,15
-56.211845,-34.907276,1835.0,0.2773236451710566,16
-56.21162,-34.90753,2182.0,0.3298516500151378,17
-56.211456,-34.908157,2193.0,0.3315168029064487,18
-56.210632,-34.909733,2227.0,0.3366636391159552,19
-56.210625,-34.909748,2227.0,0.3366636391159552,20
-56.210564,-34.910095,2168.0,0.32773236451710563,21
-56.20592,-34.910538,1169.0,0.1765062064789585,22
-56.205963,-34.91055,1169.0,0.1765062064789585,23
-56.207573,-34.91105,1397.0,0.21102028458976688,24
-56.207596,-34.911057,1397.0,0.21102028458976688,25
-56.207893,-34.911194,1332.0,0.20118074477747502,26
-56.20794,-34.911205,1332.0,0.20118074477747502,27
-56.208557,-34.911438,1347.0,0.20345140781108084,28
-56.208603,-34.911446,1347.0,0.20345140781108084,29
-56.207703,-34.907978,1133.0,0.17105661519830456,30
-56.207706,-34.907993,1133.0,0.17105661519830456,31
-56.20836,-34.908108,1233.0,0.18619436875567666,32
-56.208622,-34.90764,1352.0,0.20420829548894945,33
-56.208622,-34.907627,1094.0,0.16515289131092944,34
-56.208626,-34.906723,887.0,0.13381774144716924,35
-56.208897,-34.906345,818.0,0.1233726914925825,36
-56.208904,-34.906334,818.0,0.1233726914925825,37
-56.209568,-34.90484,479.0,0.07205570693309113,38
-56.209583,-34.9048,412.0,0.06191341204965183,39
-56.209614,-34.90475,412.0,0.06191341204965183,40
-56.208458,-34.90466,316.0,0.04738116863457463,41
-56.207825,-34.906017,489.0,0.07356948228882834,42
-56.20782,-34.90602,489.0,0.07356948228882834,43
-56.20727,-34.907146,792.0,0.11943687556766576,44
-56.206745,-34.908253,1357.0,0.20496518316681805,45
-56.206734,-34.908276,1357.0,0.20496518316681805,46
-56.204304,-34.908676,1242.0,0.18755676657584014,47
-56.204273,-34.908737,1216.0,0.1836209506509234,48
-56.204266,-34.908752,1216.0,0.1836209506509234,49
-56.203964,-34.909405,1042.0,0.15728125946109597,50
-56.20453,-34.910187,847.0,0.12776264002422041,51
-56.204544,-34.91019,847.0,0.12776264002422041,52
-56.20456,-34.910194,847.0,0.12776264002422041,53
-56.20522,-34.90919,1485.0,0.22434150772025432,54
-56.206562,-34.906532,403.0,0.060551014229488345,55
-56.207386,-34.904804,441.0,0.06630336058128973,56
-56.207638,-34.904255,328.0,0.04919769906145928,57
-56.206234,-34.904823,825.0,0.12443233424159855,58
-56.206223,-34.904842,825.0,0.12443233424159855,59
-56.205807,-34.905502,822.0,0.12397820163487738,60
-56.203598,-34.90781,954.0,0.14396003633060853,61
-56.203606,-34.907795,954.0,0.14396003633060853,62
-56.204765,-34.905426,971.0,0.14653345443536178,63
-56.20536,-34.904247,1248.0,0.18846503178928248,64
-56.20537,-34.90423,1248.0,0.18846503178928248,65
-56.2056,-34.903755,1130.0,0.17060248259158342,66
-56.20561,-34.90374,1130.0,0.17060248259158342,67
-56.2047,-34.90306,900.0,0.13578564940962762,68
-56.204403,-34.90364,1297.0,0.19588253103239478,69
-56.204395,-34.903656,1297.0,0.19588253103239478,70
-56.202415,-34.907585,998.0,0.15062064789585225,71
-56.20241,-34.9076,998.0,0.15062064789585225,72
-56.201023,-34.90721,664.0,0.10006055101422949,73
-56.202812,-34.908733,975.0,0.14713896457765668,74
-56.2028,-34.908714,975.0,0.14713896457765668,75
-56.20312,-34.90444,1270.0,0.19179533757190434,76
-56.203133,-34.90443,1270.0,0.19179533757190434,77
-56.203346,-34.904037,1490.0,0.22509839539812293,78
-56.203003,-34.903084,811.0,0.12231304874356645,79
-56.202393,-34.90287,821.0,0.12382682409930366,80
-56.1996,-34.90225,671.0,0.10112019376324553,81
-56.199493,-34.90329,1672.0,0.2526491068725401,82
-56.199398,-34.90422,1975.0,0.29851650015137754,83
-56.199398,-34.904243,1975.0,0.29851650015137754,84
-56.199326,-34.90493,1490.0,0.22509839539812293,85
-56.19932,-34.904953,1490.0,0.22509839539812293,86
-56.200504,-34.904285,1473.0,0.22252497729336967,87
-56.200516,-34.904263,1473.0,0.22252497729336967,88
-56.200527,-34.90424,1473.0,0.22252497729336967,89
-56.20101,-34.903263,1013.0,0.15289131092945807,90
-56.19736,-34.901913,1149.0,0.1734786557674841,91
-56.19723,-34.90324,2526.0,0.3819255222524977,92
-56.197227,-34.903255,2526.0,0.3819255222524977,93
-56.19718,-34.90365,2473.0,0.37390251286709053,94
-56.19718,-34.903664,2473.0,0.37390251286709053,95
-56.197124,-34.904217,2614.0,0.39524674538298515,96
-56.197124,-34.90424,2614.0,0.39524674538298515,97
-56.197216,-34.90489,2449.0,0.37026945201332123,98
-56.197216,-34.9049,2449.0,0.37026945201332123,99
-56.197144,-34.905537,2882.0,0.43581592491674237,100
-56.197105,-34.905945,2853.0,0.43142597638510444,101
-56.197105,-34.90596,2853.0,0.43142597638510444,102
-56.198242,-34.9058,2315.0,0.34998486224644265,103
-56.19818,-34.904945,2139.0,0.32334241598546776,104
-56.198185,-34.90492,2139.0,0.32334241598546776,105
-56.198246,-34.904366,2247.0,0.33969118982742963,106
-56.198303,-34.90377,2413.0,0.36481986073266726,107
-56.198303,-34.90376,2413.0,0.36481986073266726,108
-56.198395,-34.902855,1563.0,0.23614895549500453,109
-56.198395,-34.902843,1563.0,0.23614895549500453,110
-56.198627,-34.902267,1000.0,0.1509234029669997,111
-56.19863,-34.90226,1000.0,0.1509234029669997,112
-56.201122,-34.905525,1098.0,0.16575840145322435,113
-56.201416,-34.904823,1179.0,0.17801998183469572,114
-56.20202,-34.90337,911.0,0.13745080230093853,115
-56.199074,-34.90866,2569.0,0.3884347562821677,116
-56.199055,-34.908897,3074.0,0.46488041174689676,117
-56.19896,-34.90977,2763.0,0.4178019981834696,118
-56.19759,-34.91058,2380.0,0.3598244020587345,119
-56.197594,-34.91057,2380.0,0.3598244020587345,120
-56.197674,-34.909763,3668.0,0.554798667877687,121
-56.19788,-34.909355,3888.0,0.5881017257039055,122
-56.197884,-34.909336,3888.0,0.5881017257039055,123
-56.197964,-34.908566,3348.0,0.5063578564940963,124
-56.197964,-34.908546,3348.0,0.5063578564940963,125
-56.197865,-34.908062,3556.0,0.5378443838934303,126
-56.197865,-34.908043,3556.0,0.5378443838934303,127
-56.19809,-34.907486,2714.0,0.4103844989403573,128
-56.198124,-34.90708,2718.0,0.41099000908265215,129
-56.198143,-34.906925,2264.0,0.3422646079321829,130
-56.198143,-34.906906,2264.0,0.3422646079321829,131
-56.198147,-34.90689,2264.0,0.3422646079321829,132
-56.197113,-34.911064,2380.0,0.3598244020587345,133
-56.19708,-34.911057,2380.0,0.3598244020587345,134
-56.20017,-34.91041,1632.0,0.24659400544959129,135
-56.199978,-34.909023,1684.0,0.2544656372994248,136
-56.199974,-34.909008,1684.0,0.2544656372994248,137
-56.199135,-34.90819,2569.0,0.3884347562821677,138
-56.199135,-34.908207,2569.0,0.3884347562821677,139
-56.19913,-34.908226,2569.0,0.3884347562821677,140
-56.199394,-34.908447,2693.0,0.4072055706933091,141
-56.199196,-34.910397,2370.0,0.3583106267029973,142
-56.198643,-34.91014,2370.0,0.3583106267029973,143
-56.196987,-34.907143,3056.0,0.4621556161065698,144
-56.196987,-34.907158,3056.0,0.4621556161065698,145
-56.196766,-34.90758,3179.0,0.48077505298213746,146
-56.196766,-34.907593,3179.0,0.48077505298213746,147
-56.196728,-34.908092,3319.0,0.5019679079624584,148
-56.19669,-34.90835,3319.0,0.5019679079624584,149
-56.19669,-34.908367,3453.0,0.522252497729337,150
-56.196823,-34.908684,3197.0,0.4834998486224644,151
-56.196823,-34.90869,3197.0,0.4834998486224644,152
-56.196724,-34.90957,3424.0,0.517862549197699,153
-56.196724,-34.909588,3424.0,0.517862549197699,154
-56.19669,-34.909805,3408.0,0.5154405086285195,155
-56.196636,-34.910267,3139.0,0.4747199515591886,156
-56.196373,-34.911324,1805.0,0.272782319103845,157
-56.19636,-34.911377,1483.0,0.22403875264910686,158
-56.19636,-34.911396,1483.0,0.22403875264910686,159
-56.19425,-34.911583,1989.0,0.3006357856494096,160
-56.19425,-34.91161,1989.0,0.3006357856494096,161
-56.194244,-34.911636,1989.0,0.3006357856494096,162
-56.195244,-34.911407,2152.0,0.32531032394792614,163
-56.195244,-34.911396,2152.0,0.32531032394792614,164
