fecha_datos,cod_recorrido,posicion,dias_sin_levantar,longitud,latitud
2024-11-14 18:00,A_DU_RM_CL_103,1,2,-56.24022,-34.87333
2024-11-14 18:00,A_DU_RM_CL_103,2,2,-56.23973,-34.87412
2024-11-14 18:00,A_DU_RM_CL_103,3,2,-56.239506,-34.875416
2024-11-14 18:00,A_DU_RM_CL_103,4,2,-56.23801,-34.8755
2024-11-14 18:00,A_DU_RM_CL_103,5,2,-56.237198,-34.874973
2024-11-14 18:00,A_DU_RM_CL_103,6,2,-56.236416,-34.874317
2024-11-14 18:00,A_DU_RM_CL_103,7,2,-56.23591,-34.87323
2024-11-14 18:00,A_DU_RM_CL_103,8,2,-56.237,-34.87362
2024-11-14 18:00,A_DU_RM_CL_103,9,2,-56.237022,-34.873592
2024-11-14 18:00,A_DU_RM_CL_103,10,2,-56.237915,-34.874096
2024-11-14 18:00,A_DU_RM_CL_103,11,2,-56.238754,-34.873432
2024-11-14 18:00,A_DU_RM_CL_103,12,2,-56.23935,-34.86912
2024-11-14 18:00,A_DU_RM_CL_103,13,2,-56.238598,-34.86977
2024-11-14 18:00,A_DU_RM_CL_103,14,2,-56.23736,-34.87083
2024-11-14 18:00,A_DU_RM_CL_103,15,2,-56.236637,-34.871437
2024-11-14 18:00,A_DU_RM_CL_103,16,2,-56.236958,-34.87197
2024-11-14 18:00,A_DU_RM_CL_103,17,2,-56.237713,-34.871666
2024-11-14 18:00,A_DU_RM_CL_103,18,2,-56.23822,-34.871277
2024-11-14 18:00,A_DU_RM_CL_103,19,2,-56.240013,-34.869717
2024-11-14 18:00,A_DU_RM_CL_103,20,2,-56.23867,-34.87208
2024-11-14 18:00,A_DU_RM_CL_103,21,2,-56.23919,-34.87139
2024-11-14 18:00,A_DU_RM_CL_103,22,2,-56.24023,-34.870747
2024-11-14 18:00,A_DU_RM_CL_103,23,2,-56.241264,-34.86999
2024-11-14 18:00,A_DU_RM_CL_103,24,2,-56.241753,-34.869434
2024-11-14 18:00,A_DU_RM_CL_103,25,2,-56.24171,-34.869404
2024-11-14 18:00,A_DU_RM_CL_103,26,2,-56.241016,-34.868813
2024-11-14 18:00,A_DU_RM_CL_103,27,2,-56.240406,-34.868324
2024-11-14 18:00,A_DU_RM_CL_103,28,2,-56.24141,-34.86767
2024-11-14 18:00,A_DU_RM_CL_103,29,2,-56.242126,-34.868267
2024-11-14 18:00,A_DU_RM_CL_103,30,2,-56.24255,-34.8686
2024-11-14 18:00,A_DU_RM_CL_104,1,1,-56.238766,-34.86842
2024-11-14 18:00,A_DU_RM_CL_104,2,1,-56.238476,-34.8682
2024-11-14 18:00,A_DU_RM_CL_104,3,4,-56.237534,-34.867332
2024-11-14 18:00,A_DU_RM_CL_104,4,1,-56.23639,-34.866486
2024-11-14 18:00,A_DU_RM_CL_104,5,1,-56.23538,-34.865627
2024-11-14 18:00,A_DU_RM_CL_104,6,1,-56.234318,-34.864784
2024-11-14 18:00,A_DU_RM_CL_104,7,1,-56.233753,-34.864338
2024-11-14 18:00,A_DU_RM_CL_104,8,1,-56.23258,-34.863434
2024-11-14 18:00,A_DU_RM_CL_104,9,1,-56.23113,-34.862247
2024-11-14 18:00,A_DU_RM_CL_104,10,1,-56.230446,-34.861694
2024-11-14 18:00,A_DU_RM_CL_104,11,1,-56.22955,-34.860947
2024-11-14 18:00,A_DU_RM_CL_104,12,1,-56.228947,-34.860657
2024-11-14 18:00,A_DU_RM_CL_104,13,1,-56.228504,-34.861217
2024-11-14 18:00,A_DU_RM_CL_104,14,1,-56.22939,-34.86192
2024-11-14 18:00,A_DU_RM_CL_104,15,1,-56.23045,-34.862804
