id,longitud,latitud,demanda
0,-56.24022,-34.87333,3
1,-56.23973,-34.87412,111
2,-56.239506,-34.875416,380
3,-56.23801,-34.8755,127
4,-56.237198,-34.874973,0
5,-56.236416,-34.874317,2
6,-56.23591,-34.87323,218
7,-56.237,-34.87362,141
8,-56.237022,-34.873592,36
9,-56.237915,-34.874096,162
10,-56.238754,-34.873432,162
11,-56.23935,-34.86912,135
12,-56.238598,-34.86977,89
13,-56.23736,-34.87083,0
14,-56.236637,-34.871437,0
15,-56.236958,-34.87197,188
16,-56.237713,-34.871666,145
17,-56.23822,-34.871277,130
18,-56.240013,-34.869717,0
19,-56.23867,-34.87208,0
20,-56.23919,-34.87139,341
21,-56.24023,-34.870747,242
22,-56.241264,-34.86999,204
23,-56.241753,-34.869434,123
24,-56.24171,-34.869404,0
25,-56.241016,-34.868813,293
26,-56.240406,-34.868324,118
27,-56.24141,-34.86767,110
28,-56.242126,-34.868267,0
29,-56.24255,-34.8686,442
30,-56.238766,-34.86842,81
31,-56.238476,-34.8682,90
32,-56.237534,-34.867332,45
33,-56.23639,-34.866486,195
34,-56.23538,-34.865627,0
35,-56.234318,-34.864784,148
36,-56.233753,-34.864338,105
37,-56.23258,-34.863434,141
38,-56.23113,-34.862247,8
39,-56.230446,-34.861694,86
40,-56.22955,-34.860947,69
41,-56.228947,-34.860657,0
42,-56.228504,-34.861217,139
43,-56.22939,-34.86192,41
44,-56.23045,-34.862804,168
45,-56.230873,-34.863136,221
46,-56.23207,-34.864117,0
47,-56.23329,-34.865074,86
48,-56.234104,-34.865726,198
49,-56.234886,-34.86639,125
50,-56.23664,-34.867905,88
51,-56.237328,-34.868355,1
52,-56.23728,-34.869755,207
53,-56.23593,-34.86874,0
54,-56.235355,-34.868267,96
55,-56.232384,-34.86585,81
56,-56.231274,-34.864944,109
57,-56.2308,-34.864586,98
58,-56.22923,-34.863262,120
59,-56.228893,-34.862984,114
60,-56.226856,-34.862484,101
61,-56.227863,-34.863308,219
62,-56.22937,-34.8645,112
63,-56.230106,-34.86513,135
64,-56.230923,-34.865818,194
65,-56.232216,-34.866817,171
66,-56.232647,-34.867203,174
67,-56.233845,-34.86815,204
68,-56.234665,-34.86879,123
69,-56.235416,-34.86941,88
70,-56.23631,-34.87039,215
71,-56.23533,-34.87084,305
72,-56.234066,-34.869827,97
73,-56.2332,-34.869114,251
74,-56.232204,-34.86831,0
75,-56.23158,-34.867805,214
76,-56.230183,-34.866665,97
77,-56.228916,-34.865646,88
78,-56.227898,-34.86484,224
79,-56.226513,-34.863693,106
80,-56.225616,-34.864098,128
81,-56.22608,-34.86446,153
82,-56.226982,-34.865208,64
83,-56.22799,-34.865997,222
84,-56.229042,-34.86687,215
85,-56.23024,-34.86786,67
86,-56.230904,-34.86839,0
87,-56.23094,-34.86841,2
88,-56.23216,-34.869396,222
89,-56.23259,-34.86976,133
90,-56.23367,-34.87065,106
91,-56.233902,-34.87105,117
92,-56.23288,-34.8715,0
93,-56.232853,-34.87147,143
94,-56.2318,-34.870594,88
95,-56.23079,-34.86977,140
96,-56.22972,-34.868942,76
97,-56.228107,-34.867607,262
98,-56.226795,-34.866543,91
99,-56.225277,-34.865288,0
100,-56.224796,-34.864906,348
101,-56.223705,-34.865135,220
102,-56.22502,-34.86619,177
103,-56.226215,-34.867176,287
104,-56.227196,-34.86795,134
105,-56.22722,-34.86797,116
106,-56.22851,-34.869133,224
107,-56.229763,-34.870106,115
108,-56.22825,-34.870205,103
109,-56.226044,-34.868473,61
110,-56.22526,-34.867767,3
111,-56.224533,-34.867207,112
112,-56.22361,-34.86654,0
113,-56.22293,-34.866,130
114,-56.22208,-34.86634,105
115,-56.22215,-34.86649,102
116,-56.223217,-34.86737,135
117,-56.222458,-34.868168,113
118,-56.222065,-34.867847,0
119,-56.221027,-34.86726,98
120,-56.220882,-34.86803,121
121,-56.24173,-34.85763,960
122,-56.241665,-34.85762,190
123,-56.240356,-34.85658,210
124,-56.240005,-34.856277,67
125,-56.23951,-34.855865,159
126,-56.23851,-34.855064,0
127,-56.238476,-34.855034,195
